semaforo;semaforo_label_ini;semaforo_label_fim;num_faixas;fluxo_total;fluxo_sat;vel_via
0;A;C;1;308,52;1043,478261;40
1;A;K;1;335,2;1043,478261;40
2;A;N;1;122,52;1043,478261;40
3;E;G;1;180,96;1043,478261;40
4;E;K;1;5,32;1043,478261;40
5;E;N;1;119,84;1043,478261;40
6;I;C;1;123,76;1043,478261;40
7;I;K;2;553,52;2086,956522;40
8;L;G;1;109,2;1043,478261;40
9;L;N;1;173,08;1043,478261;40
